"keys";"?plural";"?context";"es"
"?pluralrule";"";"";"nplurals=2; plural=(n != 1);"
"AUTH_BROWSER_OPENING";"";"";"Abriendo el navegador..."
"AUTH_BROWSER_WAITING";"";"";"Esperando al navegador..."
"AUTH_CHOOSE_LOOK_TITLE";"";"";"Elige tu aspecto"
"AUTH_DEEPLINK_FINISHING";"";"";"Finalizando el inicio de sesión..."
"AUTH_EMAIL_CONFIRMING";"";"";"Confirmando el inicio de sesión..."
"AUTH_EMAIL_PLACEHOLDER";"";"";"nombre@email.com"
"AUTH_EMAIL_PROMPT";"";"";"Introduce tu email"
"AUTH_EMAIL_TITLE";"";"";"Inicia sesión con tu email"
"AUTH_FAILED_TITLE";"";"";"Error de autenticación"
"AUTH_GETTING_READY";"";"";"Preparando todo..."
"AUTH_LEGAL_CONSENT";"";"";"Al continuar, aceptas los [color=#A0ABFF][url=""https://decentraland.org/terms/""]Términos de Servicio[/url][/color], la [color=#A0ABFF][url=""https://decentraland.org/privacy/""]Política de Privacidad[/url][/color] y la [color=#A0ABFF][url=""https://decentraland.org/content/""]Política de Contenido[/url][/color] de Decentraland."
"AUTH_LETS_GO";"";"";"VAMOS"
"AUTH_LOGIN_APPLE";"";"";"APPLE"
"AUTH_LOGIN_EMAIL";"";"";"CONTINUAR CON EMAIL"
"AUTH_LOGIN_GOOGLE";"";"";"GOOGLE"
"AUTH_LOGIN_METAMASK";"";"";"METAMASK"
"AUTH_LOGIN_WALLET_CONNECT";"";"";"WALLET CONNECT"
"AUTH_NAME_FIELD_LABEL";"";"";"Nombre"
"AUTH_NAME_SAFETY_HINT";"";"";"*Por seguridad, evita usar tu nombre real"
"AUTH_OTP_SEND_CODE_FAILED";"";"";"No se pudo enviar el código. Revisa tu email e inténtalo de nuevo."
"AUTH_PICK_NAME_TITLE";"";"";"Elige tu nombre"
"AUTH_PLAY_AS_GUEST";"";"";"JUGAR COMO INVITADO"
"AUTH_QUICK_DIVE";"";"";"ENTRADA RÁPIDA (CUENTA TEMPORAL)"
