"keys";"?plural";"?context";"pt_BR"
"?pluralrule";"";"";"nplurals=2; plural=(n > 1);"
"AUTH_BROWSER_OPENING";"";"";"Abrindo o navegador..."
"AUTH_BROWSER_WAITING";"";"";"Aguardando o navegador..."
"AUTH_CHOOSE_LOOK_TITLE";"";"";"Escolha seu visual"
"AUTH_DEEPLINK_FINISHING";"";"";"Concluindo o login..."
"AUTH_EMAIL_CONFIRMING";"";"";"Confirmando o login..."
"AUTH_EMAIL_PLACEHOLDER";"";"";"nome@email.com"
"AUTH_EMAIL_PROMPT";"";"";"Digite seu e-mail"
"AUTH_EMAIL_TITLE";"";"";"Entre com seu e-mail"
"AUTH_FAILED_TITLE";"";"";"Falha na autenticação"
"AUTH_GETTING_READY";"";"";"Preparando tudo..."
"AUTH_LEGAL_CONSENT";"";"";"Ao continuar, você concorda com os [color=#A0ABFF][url=""https://decentraland.org/terms/""]Termos de Serviço[/url][/color], a [color=#A0ABFF][url=""https://decentraland.org/privacy/""]Política de Privacidade[/url][/color] e a [color=#A0ABFF][url=""https://decentraland.org/content/""]Política de Conteúdo[/url][/color] da Decentraland."
"AUTH_LETS_GO";"";"";"VAMOS LÁ"
"AUTH_LOGIN_APPLE";"";"";"APPLE"
"AUTH_LOGIN_EMAIL";"";"";"CONTINUAR COM E-MAIL"
"AUTH_LOGIN_GOOGLE";"";"";"GOOGLE"
"AUTH_LOGIN_METAMASK";"";"";"METAMASK"
"AUTH_LOGIN_WALLET_CONNECT";"";"";"WALLET CONNECT"
"AUTH_NAME_FIELD_LABEL";"";"";"Nome"
"AUTH_NAME_SAFETY_HINT";"";"";"*Por segurança, evite usar seu nome real"
"AUTH_OTP_SEND_CODE_FAILED";"";"";"Não foi possível enviar o código. Verifique seu e-mail e tente novamente."
"AUTH_PICK_NAME_TITLE";"";"";"Escolha seu nome"
"AUTH_PLAY_AS_GUEST";"";"";"JOGAR COMO CONVIDADO"
"AUTH_QUICK_DIVE";"";"";"ENTRADA RÁPIDA (CONTA TEMPORÁRIA)"
"AUTH_SIGNED_IN_AS";"";"";"Você entrou como"
"AUTH_SIGNED_IN_AS_NAME";"";"";"Você entrou como
%s."
"AUTH_SIGN_IN_BUTTON";"";"";"ENTRAR"
"AUTH_SIGN_IN_TITLE";"";"";"Entre na Decentraland"
"AUTH_UPDATE_BODY";"";"";"Uma nova versão da Decentraland está disponível. Atualize para ter a melhor experiência."
"AUTH_UPDATE_TITLE";"";"";"Nova versão disponível"
"AUTH_USE_ANOTHER_ACCOUNT";"";"";"Usar outra conta"
"AUTH_WALLET_OPENING_METAMASK";"";"";"Abrindo o MetaMask..."
"AUTH_WALLET_WAITING_METAMASK";"";"";"Aguardando o MetaMask..."
"AUTH_WELCOME_BACK";"";"";"Bem-vindo de volta"
"AUTH_WELCOME_TAGLINE";"";"";"Descubra um mundo criado
pela sua comunidade"
"AUTH_WELCOME_TITLE";"";"";"Boas-vindas à Decentraland"
"BACKPACK_ALL";"";"";"Tudo"
"BACKPACK_ALL_CAPS";"";"";"TUDO"
"BACKPACK_BACKPACK";"";"";"Backpack"
"BACKPACK_BODY";"";"";"CORPO"
"BACKPACK_CLOTHING";"";"";"ROUPAS"
"BACKPACK_COLLECTIBLES";"";"";"Colecionáveis"
"BACKPACK_COLOR_LABEL";"";"";"Cor de %s"
"BACKPACK_EMOTES";"";"";"Emotes"
"BACKPACK_EQUIPPED";"";"";"Equipado"
"BACKPACK_EXTRAS";"";"";"EXTRAS"
"BACKPACK_FACE";"";"";"ROSTO"
"BACKPACK_FIND_NEW_ONES_IN_THE_MARKETPLACE";"";"";"Encontre mais no
[color=#A0ABFF][url]Marketplace[/url][/color]"
"BACKPACK_NOTHING_HERE_YET";"";"";"Nada aqui ainda"
"BACKPACK_OUTFITS";"";"";"Looks"
